"id","driverId","corridorId","originHubId","destinationHubId","originName","originLat","originLng","destName","destLat","destLng","departureTime","totalSeats","availableSeats","vehicleType","helmetProvided","contribution","notes","status","originSequence","destinationSequence"
"2160327c-0a56-458c-8e3a-b0a653bb488a","29ba1c6f-943a-462e-a307-a6c327c39a57","swargate-vit","a80964b4-72f5-43de-ad1a-bdcb9fca796e","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Lower Indira Nagar Stop","18.4718","73.8618","VIT College","18.4635","73.8682","2026-08-08T02:15:00.000Z","1","0","scooty","true","19","Please arrive five minutes early","COMPLETED","8","12"
"a3e970e9-75ee-4f20-9165-255a51a84ca8","abc3a47b-8ad1-4b85-9c68-7d9ca2c6091e","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","0ad9adea-2c75-4d2a-86ae-34dcc0727788","VIT College","18.4635","73.8682","Shankar Maharaj Math","18.4735","73.8579","2026-08-09T12:00:00.000Z","1","0","scooty","false","11","Please arrive five minutes early","SCHEDULED","13","6"
"2c93da10-5ccc-4b4f-b9be-663dbc43be74","0195616c-ec89-4a4d-8990-b9d0d41435fa","swargate-vit","86e290a5-7e39-4f7a-805e-a6154d820f01","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Market Yard Corner","18.4792","73.8581","VIT College","18.4635","73.8682","2026-08-10T02:15:00.000Z","3","2","car","false","50","Morning campus commute","COMPLETED","6","12"
"12b7724e-5d38-4e12-a9c5-92b757d48e24","4bb40fa4-b428-432e-aca2-1a954ebd5186","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","af5c22fe-11db-4392-b90e-85f946c0a37b","VIT College","18.4635","73.8682","KK Market BRTS","18.4683","73.8579","2026-08-11T12:00:00.000Z","1","0","scooty","false","8","Please arrive five minutes early","COMPLETED","13","5"
"c94642e2-10f3-48f6-badb-f7cb639224cd","96f0bff7-4a51-45fe-924a-7fd40bd96af0","swargate-vit","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Kashinath Patil Nagar Stop","18.4745","73.8631","VIT College","18.4635","73.8682","2026-08-12T02:15:00.000Z","1","0","scooty","false","3","Morning campus commute","COMPLETED","9","12"
"bb34fe76-14af-4ae5-9f5c-603285cfbd25","856c5003-10e0-491c-b001-245c65a8fb4b","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","0ad9adea-2c75-4d2a-86ae-34dcc0727788","VIT College","18.4635","73.8682","Shankar Maharaj Math","18.4735","73.8579","2026-08-13T12:00:00.000Z","1","0","scooty","false","12","","COMPLETED","13","6"
"ac13c8ae-3f73-4440-bc4f-791d0d7630f4","dbffce9e-93ca-460b-a2e6-fec327ae8a6e","swargate-vit","596f6d76-b8c5-4cf2-9058-1a1a334d424d","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Panchami BRTS","18.4902","73.8586","VIT College","18.4635","73.8682","2026-08-14T02:15:00.000Z","1","1","bike","false","2","Morning campus commute","SCHEDULED","4","12"
"2b9eb664-e252-4eb4-aaf1-0330d9b229fb","20bdc7ae-7082-421e-b675-6c4002d0295b","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","fea32ab3-d832-43d3-a3a0-788e8711526d","VIT College","18.4635","73.8682","Balaji Nagar BRTS","18.4628","73.8577","2026-08-15T12:00:00.000Z","1","1","scooty","false","7","Please arrive five minutes early","COMPLETED","13","4"
"6373477b-6351-4807-9c1f-290fbf1561ef","a4e13249-216e-49cd-8abf-6f5bd9c3fe4c","swargate-vit","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Kashinath Patil Nagar Stop","18.4745","73.8631","VIT College","18.4635","73.8682","2026-08-16T02:15:00.000Z","2","0","car","false","59","Morning campus commute","COMPLETED","9","12"
"e4faf1af-7b41-4c8f-bb4e-2647ba612763","1137a11d-2e66-45ed-b840-8d12e6722bfa","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","fea32ab3-d832-43d3-a3a0-788e8711526d","VIT College","18.4635","73.8682","Balaji Nagar BRTS","18.4628","73.8577","2026-08-17T12:00:00.000Z","2","2","car","false","32","Pickup near the hub","COMPLETED","13","4"
